ID|Food Concept|URLs
B000206|ONION SOUP|http://purl.obolibrary.org/obo/FOODON_03316347;http://purl.obolibrary.org/obo/FOODON_03304821
B000207|PAPAYA|http://purl.obolibrary.org/obo/NCBITaxon_3649
B000208|BARBEQUE SAUCE|http://purl.obolibrary.org/obo/FOODON_03302062;http://purl.obolibrary.org/obo/FOODON_03311146
B000209|CURRY PASTE|http://purl.obolibrary.org/obo/FOODON_03306648;http://purl.obolibrary.org/obo/FOODON_03302920
B000210|LEMON|http://purl.obolibrary.org/obo/FOODON_03301441
B000211|OIL GRILL|http://purl.obolibrary.org/obo/FOODON_03310387;http://purl.obolibrary.org/obo/FOODON_03315524
B000212|TAIL|http://purl.obolibrary.org/obo/FOODON_03530155
B000213|SPAGHETTI SAUCE|http://purl.obolibrary.org/obo/FOODON_03303886;http://purl.obolibrary.org/obo/FOODON_03311146
B000214|GRAPE JELLY|http://purl.obolibrary.org/obo/FOODON_03305954
B000215|CORIANDER|http://purl.obolibrary.org/obo/FOODON_03310370
B000216|PANCAKE|http://purl.obolibrary.org/obo/FOODON_03315258
B000217|CHICKEN BROTH|http://purl.obolibrary.org/obo/FOODON_03303004;http://purl.obolibrary.org/obo/FOODON_03411457;http://purl.obolibrary.org/obo/FOODON_03309462
B000218|MEXICAN|http://purl.obolibrary.org/obo/hancestro_0415;http://purl.obolibrary.org/obo/ancestro_0415
B000219|LEMON PEEL|http://purl.obolibrary.org/obo/FOODON_03306143;http://purl.obolibrary.org/obo/FOODON_03301441
B000220|WHEAT GERM|http://purl.obolibrary.org/obo/FOODON_03315184;http://purl.obolibrary.org/obo/FOODON_03301595;http://purl.obolibrary.org/obo/NCBITaxon_4565
B000221|WHEAT|http://purl.obolibrary.org/obo/FOODON_03315184;http://purl.obolibrary.org/obo/NCBITaxon_4565
B000222|FAT OR OIL|http://purl.obolibrary.org/obo/FOODON_03310387;http://purl.obolibrary.org/obo/FOODON_03420190
B000223|QUICHE|http://purl.obolibrary.org/obo/FOODON_03307177
B000224|FLAVORING EXTRACT|http://purl.obolibrary.org/obo/FOODON_03306145
B000225|YEAST|http://purl.obolibrary.org/obo/FOODON_03315025;http://purl.obolibrary.org/obo/FOODON_03411345
B000226|ORDER|http://purl.obolibrary.org/obo/NCBITaxon_order
B000227|FRUIT|http://purl.obolibrary.org/obo/PO_0009001
B000228|FLEXIBLE|http://purl.obolibrary.org/obo/PATO_0001544
B000229|APPLE|http://purl.obolibrary.org/obo/FOODON_03301710;http://purl.obolibrary.org/obo/NCBITaxon_3750
B000230|ROOT|http://purl.obolibrary.org/obo/FOODON_03420306
B000231|HOLLANDAISE SAUCE|http://purl.obolibrary.org/obo/FOODON_03301182;http://purl.obolibrary.org/obo/FOODON_03311146
B000232|ASIAGO CHEESE|http://purl.obolibrary.org/obo/FOODON_03301736
B000233|CROISSANT|http://purl.obolibrary.org/obo/FOODON_03309852
B000234|CANADIAN|http://purl.obolibrary.org/obo/ancestro_0354;http://purl.obolibrary.org/obo/hancestro_0354
B000235|PUDDING|http://purl.obolibrary.org/obo/FOODON_03301660
B000236|AMISH|http://purl.obolibrary.org/obo/ancestro_0316;http://purl.obolibrary.org/obo/hancestro_0316
B000237|WHOLE WHEAT FLOUR|http://purl.obolibrary.org/obo/FOODON_03315184;http://purl.obolibrary.org/obo/FOODON_03302340;http://purl.obolibrary.org/obo/FOODON_03301116;http://purl.obolibrary.org/obo/NCBITaxon_4565
B000238|WAFFLE|http://purl.obolibrary.org/obo/FOODON_03315259
B000239|CREAM OF CHICKEN SOUP|http://purl.obolibrary.org/obo/FOODON_03306286;http://purl.obolibrary.org/obo/FOODON_03305127
B000240|CHICKEN SOUP|http://purl.obolibrary.org/obo/FOODON_03306286;http://purl.obolibrary.org/obo/FOODON_03411457
B000241|METAL|http://purl.obolibrary.org/obo/FOODON_03500041
B000242|GHEE|http://purl.obolibrary.org/obo/FOODON_03310185
B000243|WHEAT BRAN|http://purl.obolibrary.org/obo/FOODON_03315184;http://purl.obolibrary.org/obo/NCBITaxon_4565;http://purl.obolibrary.org/obo/FOODON_03304608
B000244|APPLE PIE|http://purl.obolibrary.org/obo/FOODON_03301710;http://purl.obolibrary.org/obo/FOODON_00002475
B000245|SPICE|http://purl.obolibrary.org/obo/FOODON_03303380
B000246|BURRITO|http://purl.obolibrary.org/obo/FOODON_00002510
B000247|EGG YOLK|http://purl.obolibrary.org/obo/UBERON_0007378
B000248|CHEESE SAUCE|http://purl.obolibrary.org/obo/FOODON_03311146;http://purl.obolibrary.org/obo/FOODON_03304042
B000249|MALT|http://purl.obolibrary.org/obo/FOODON_03306040
B000250|CHEESE SUBSTITUTE|http://purl.obolibrary.org/obo/FOODON_03303869
B000251|CONFECTIONER'S SUGAR|http://purl.obolibrary.org/obo/FOODON_03304315;http://purl.obolibrary.org/obo/FOODON_03420108
B000252|FRENCH TOAST|http://purl.obolibrary.org/obo/ancestro_0363;http://purl.obolibrary.org/obo/FOODON_03302695;http://purl.obolibrary.org/obo/FOODON_03306255
B000253|RICOTTA CHEESE|http://purl.obolibrary.org/obo/FOODON_03302908
B000254|SANDWICH|http://purl.obolibrary.org/obo/FOODON_03301906
B000255|STRAWBERRY|http://purl.obolibrary.org/obo/NCBITaxon_3747
B000256|SCRAMBLED EGG|http://purl.obolibrary.org/obo/FOODON_03304791
B000257|SEMOLINA|http://purl.obolibrary.org/obo/FOODON_03303411
B000258|PORRIDGE|http://purl.obolibrary.org/obo/FOODON_03311555
B000259|STREAM|http://purl.obolibrary.org/obo/ENVO_00000023
B000260|ALMOND BUTTER|http://purl.obolibrary.org/obo/FOODON_03310875;http://purl.obolibrary.org/obo/FOODON_03310351;http://purl.obolibrary.org/obo/NCBITaxon_3755
B000261|WALNUT|http://purl.obolibrary.org/obo/FOODON_03316466
B000262|FINISH|http://purl.obolibrary.org/obo/ancestro_0321;http://purl.obolibrary.org/obo/hancestro_0321
B000263|GLUTEN|http://purl.obolibrary.org/obo/FOODON_03420177;http://purl.obolibrary.org/obo/FOODON_03301888
B000264|FROZEN|http://purl.obolibrary.org/obo/PATO_0001985
B000265|CREAM OF MUSHROOM SOUP|http://purl.obolibrary.org/obo/FOODON_00001287;http://purl.obolibrary.org/obo/FOODON_03305128
B000266|COD|http://purl.obolibrary.org/obo/FOODON_03411423
B000267|FISH FLAKES|http://purl.obolibrary.org/obo/FOODON_03411222;http://purl.obolibrary.org/obo/FOODON_03308602
B000268|ORANGE PEEL|http://purl.obolibrary.org/obo/FOODON_03309832;http://purl.obolibrary.org/obo/FOODON_03303116
B000269|MILLET|http://purl.obolibrary.org/obo/FOODON_03309702
B000270|PUDDING MIX|http://purl.obolibrary.org/obo/FOODON_03301660;http://purl.obolibrary.org/obo/FOODON_03310796
B000271|TUBE|http://purl.obolibrary.org/obo/FOODON_03490200
B000272|SPELT|http://purl.obolibrary.org/obo/NCBITaxon_58933
B000273|TIN|http://purl.obolibrary.org/obo/FOODON_03500043
B000274|FINELY GROUND|http://purl.obolibrary.org/obo/FOODON_03430106
B000275|TAPIOCA FLOUR|http://purl.obolibrary.org/obo/FOODON_03310681;http://purl.obolibrary.org/obo/FOODON_03307663;http://purl.obolibrary.org/obo/FOODON_03301116
B000276|ALOE VERA|http://purl.obolibrary.org/obo/NCBITaxon_34199;http://purl.obolibrary.org/obo/NCBITaxon_25641
B000277|PEACH|http://purl.obolibrary.org/obo/NCBITaxon_3760;http://purl.obolibrary.org/obo/FOODON_03315502;http://purl.obolibrary.org/obo/FOODON_03301719
B000278|GRAPEFRUIT JUICE|http://purl.obolibrary.org/obo/FOODON_03306174;http://purl.obolibrary.org/obo/NCBITaxon_37656
B000279|GRAPEFRUIT|http://purl.obolibrary.org/obo/FOODON_03301702;http://purl.obolibrary.org/obo/NCBITaxon_37656
B000280|COCOA|http://purl.obolibrary.org/obo/FOODON_03301072
B000281|STRAW|http://purl.obolibrary.org/obo/FOODON_03309894
