ID|Food Concept|URLs
C000245|SKIM MILK|http://purl.bioontology.org/ontology/SNOMEDCT/70813002;http://purl.bioontology.org/ontology/SNOMEDCT/25743006
C000246|JAM|http://purl.bioontology.org/ontology/SNOMEDCT/227601008
C000247|CHEESECAKE|http://purl.bioontology.org/ontology/SNOMEDCT/226023004
C000248|CONDENSED MILK|http://purl.bioontology.org/ontology/SNOMEDCT/70813002;http://purl.bioontology.org/ontology/SNOMEDCT/226784002;http://purl.bioontology.org/ontology/SNOMEDCT/226787009
C000249|FRUIT JUICE|http://purl.bioontology.org/ontology/SNOMEDCT/129560007;http://purl.bioontology.org/ontology/SNOMEDCT/72511004;http://purl.bioontology.org/ontology/SNOMEDCT/129559002
C000250|BOURBON|http://purl.bioontology.org/ontology/SNOMEDCT/226018004
C000251|CANDY|http://purl.bioontology.org/ontology/SNOMEDCT/227607007
C000252|GRAHAM CRACKER|http://purl.bioontology.org/ontology/SNOMEDCT/226543002;http://purl.bioontology.org/ontology/SNOMEDCT/442721000124103
C000253|FIGS|http://purl.bioontology.org/ontology/SNOMEDCT/227425007
C000254|SAFFRON|http://purl.bioontology.org/ontology/SNOMEDCT/735010000
C000255|MARSHMALLOW|http://purl.bioontology.org/ontology/SNOMEDCT/229887001
C000256|WHITE RICE|http://purl.bioontology.org/ontology/SNOMEDCT/67324005;http://purl.bioontology.org/ontology/SNOMEDCT/226759000
C000257|EGGNOG|http://purl.bioontology.org/ontology/SNOMEDCT/442811000124102
C000258|RUM|http://purl.bioontology.org/ontology/SNOMEDCT/226054000
C000259|CHOCOLATE CAKE|http://purl.bioontology.org/ontology/SNOMEDCT/226647005;http://purl.bioontology.org/ontology/SNOMEDCT/102262009;http://purl.bioontology.org/ontology/SNOMEDCT/226639005
C000260|CUSTARD|http://purl.bioontology.org/ontology/SNOMEDCT/227689008
C000261|PRETZELS|http://purl.bioontology.org/ontology/SNOMEDCT/229908005
C000262|DARK CHOCOLATE|http://purl.bioontology.org/ontology/SNOMEDCT/443931000124105;http://purl.bioontology.org/ontology/SNOMEDCT/102262009
C000263|PEAR|http://purl.bioontology.org/ontology/SNOMEDCT/735050002
C000264|ICING|http://purl.bioontology.org/ontology/SNOMEDCT/229871004
C000265|CORN STARCH|http://purl.bioontology.org/ontology/SNOMEDCT/229936000;http://purl.bioontology.org/ontology/SNOMEDCT/412357001
C000266|BREAD PUDDING|http://purl.bioontology.org/ontology/SNOMEDCT/227686001;http://purl.bioontology.org/ontology/SNOMEDCT/226559002
C000267|RASPBERRY|http://purl.bioontology.org/ontology/SNOMEDCT/421013007
C000268|BLACKBERRIES|http://purl.bioontology.org/ontology/SNOMEDCT/227418000
C000269|BLACKBERRY|http://purl.bioontology.org/ontology/SNOMEDCT/227418000
